events,evnum,sum,date,cumsum,logcumsum,css_scaled,log_css_scaled
MV363A_tr,363.0,2.0,2016-06-28,87997.0,5771.576199587443,2.272804754707547e-5,0.0003465257896348941
MV363A_tr2,363.0,1.0,2016-06-28,92522.0,6911.989725117621,1.0808240202330257e-5,0.0001446761409910781
MV363B,363.0,10.0,2016-06-28,42608.0,2719.7856634352934,0.00023469770935035674,0.003676760317711672
MV364,364.0,0.0,2016-07-27,42780.0,2690.702539541024,0.0,0.0
MV365,365.0,2.0,2016-07-28,35701.25,2384.9490891547584,5.6020447463324114e-5,0.0008385923242951963
MV366,366.0,23.0,2016-08-09,60367.5,3656.2307789611696,0.0003809997101089162,0.0062906313606754605
MV367,367.0,41.0,2016-08-19,65085.75,4234.361182953114,0.000629938196917144,0.009682688421823743
MV368,368.0,11.0,2016-08-24,42034.25,2779.8876205144234,0.00026169135883238073,0.003956994491009111
MV369,369.0,0.0,2016-09-22,45636.5,2952.3569384557713,0.0,0.0
MV370,370.0,1.0,2016-10-07,40965.5,2552.218844941196,2.441078468467369e-5,0.0003918159298847432
MV371,371.0,2.0,2016-10-27,59713.75,3973.0704069392377,3.349312344309309e-5,0.0005033890153335476
MV372,372.0,0.0,2016-11-04,60953.5,4043.9357146248435,0.0,0.0
MV373,373.0,0.0,2016-11-09,61558.5,4116.279976959872,0.0,0.0
MV374,374.0,0.0,2016-11-16,52285.0,3251.3919619355884,0.0,0.0
MV375,375.0,0.0,2016-11-28,63278.0,4205.228083941241,0.0,0.0
MV376,376.0,0.0,2016-12-14,94244.0,5895.67431950465,0.0,0.0
MV377,377.0,0.0,2017-02-22,95757.25,6143.36389515161,0.0,0.0
MV378,378.0,0.0,2017-03-30,80366.0,5071.920831650257,0.0,0.0
MV379,379.0,0.0,2017-04-13,92858.0,5902.560990347652,0.0,0.0
MV380,380.0,0.0,2017-04-14,65293.75,4154.103834325022,0.0,0.0
MV381,381.0,0.0,2017-05-30,158776.0,23554.75149532703,0.0,0.0
MV382,382.0,0.0,2017-06-26,71927.5,4700.6339643475485,0.0,0.0
MV383,383.0,0.0,2017-07-28,61800.0,4225.783777265554,0.0,0.0
MV384,384.0,0.0,2017-08-02,94257.0,5954.924978648062,0.0,0.0
MV385,385.0,6.0,2017-08-21,99088.75,6116.4342501674355,6.0551778077733344e-5,0.0009809637044387017
MV386,386.0,5.0,2017-09-01,190330.5,11816.733149101146,2.627009333764163e-5,0.0004231287900734503
MV387,387.0,1.0,2017-10-17,92141.25,5782.760305979514,1.0852902473105151e-5,0.0001729277969494907
MV388,388.0,1.0,2017-11-15,75930.75,4747.572688827591,1.3169894937163139e-5,0.00021063395245180522
MV389,389.0,0.0,2017-12-04,148428.0,22816.08282588659,0.0,0.0
MV390,390.0,0.0,2018-01-22,80229.75,5107.258369295896,0.0,0.0
MV391,391.0,0.0,2018-02-27,62412.0,4099.297479949246,0.0,0.0
MV392,392.0,0.0,2018-03-24,207788.0,13364.282986034103,0.0,0.0
MV393,393.0,0.0,2018-04-11,95173.5,6910.6581698977225,0.0,0.0
