Depth,Temperature,Salinity,Oxigen
m,°C,psu,ml/L
64,16.7019,34.8234,0.9235
65,16.6901,34.8259,0.9326
66,16.684,34.8283,0.9401
67,16.6826,34.8306,0.9449
68,16.6843,34.8323,0.9515
69,16.6848,34.8327,0.9584
70,16.6862,34.8334,0.9658
71,16.6877,34.8346,0.9719
72,16.6891,34.8358,0.9803
73,16.6905,34.8367,0.9896
74,16.6931,34.8394,0.9961
75,16.6844,34.8443,0.9969
76,16.6681,34.8452,0.9996
77,16.6604,34.8444,1.0052
78,16.6483,34.8489,1.0085
79,16.6252,34.8564,1.0083
80,16.6196,34.8572,1.0035
81,16.617,34.8565,0.9895
82,16.6054,34.8546,0.9689
83,16.5644,34.8518,0.9509
84,16.4668,34.8527,0.9361
85,16.4291,34.8544,0.923
86,16.3942,34.8568,0.9134
87,16.3566,34.8592,0.9059
88,16.3279,34.8607,0.8978
89,16.3132,34.8615,0.887
90,16.2762,34.864,0.8798
91,16.2466,34.8666,0.8739
92,16.2314,34.8682,0.871
93,16.2245,34.869,0.8684
94,16.2209,34.8692,0.8675
95,16.2131,34.87,0.8659
96,16.2079,34.8705,0.8632
97,16.2005,34.8709,0.8617
98,16.1976,34.8711,0.8586
99,16.1901,34.8716,0.8549
100,16.1742,34.8729,0.8513
101,16.1654,34.8737,0.8472
102,16.1384,34.8757,0.8392
103,16.084,34.8804,0.8274
104,16.065,34.8819,0.8193
105,16.0489,34.8833,0.8125
106,16.0233,34.8858,0.8067
107,16.0029,34.888,0.8032
108,15.9795,34.89,0.7985
109,15.9663,34.8873,0.7953
110,15.9555,34.8922,0.7879
111,15.9492,34.8926,0.7793
112,15.9445,34.8924,0.7698
113,15.9079,34.8921,0.765
114,15.7806,34.8998,0.7625
115,15.7573,34.9014,0.7581
116,15.7453,34.9024,0.7574
117,15.7345,34.9034,0.7567
118,15.7226,34.9043,0.7567
119,15.7064,34.9059,0.753
120,15.6889,34.9072,0.7475
121,15.6639,34.9089,0.7436
122,15.6474,34.9096,0.7414
123,15.6282,34.911,0.7412
124,15.6208,34.9116,0.7388
125,15.6141,34.9125,0.7373
126,15.6011,34.9133,0.7354
127,15.5979,34.9136,0.7339
128,15.5937,34.9135,0.7336
129,15.5636,34.9141,0.7323
130,15.5054,34.9166,0.7327
131,15.4445,34.9187,0.7336
132,15.3422,34.9253,0.7352
133,15.2998,34.9296,0.7355
134,15.2919,34.9301,0.7361
135,15.2844,34.9306,0.7363
136,15.2644,34.932,0.7364
137,15.2471,34.9336,0.7364
138,15.2469,34.9337,0.7361
139,15.2438,34.9342,0.736
140,15.2427,34.9344,0.7365
141,15.2397,34.9348,0.7373
142,15.2352,34.9352,0.7377
143,15.2335,34.9355,0.7389
144,15.2301,34.9356,0.7402
145,15.2213,34.9364,0.7415
146,15.2196,34.9366,0.7439
147,15.2091,34.9374,0.7452
148,15.2065,34.9376,0.7458
149,15.197,34.9382,0.7462
150,15.1935,34.9384,0.7464
151,15.1861,34.9383,0.7455
152,15.1745,34.9386,0.7448
153,15.1639,34.9389,0.7432
154,15.1441,34.9389,0.7404
155,15.1342,34.9391,0.7372
156,15.1395,34.9381,0.7362
157,15.1401,34.9379,0.7345
158,15.1398,34.9379,0.7332
159,15.1386,34.9382,0.7334
160,15.1378,34.9383,0.7327
161,15.1376,34.9381,0.7324
162,15.1412,34.9381,0.7325
163,15.1416,34.9382,0.732
164,15.142,34.9384,0.7314
165,15.1418,34.9384,0.7304
166,15.1403,34.9383,0.7303
167,15.1381,34.9383,0.7296
168,15.1358,34.9382,0.7293
169,15.1336,34.9382,0.7286
170,15.1297,34.9381,0.7274
171,15.1303,34.938,0.7267
172,15.1294,34.9381,0.7257
173,15.1299,34.9381,0.7266
174,15.1291,34.9382,0.7254
175,15.1284,34.9382,0.7258
176,15.1283,34.9382,0.7255
177,15.1284,34.9382,0.7259
178,15.1281,34.9383,0.7256
179,15.128,34.9382,0.7252
180,15.1271,34.9382,0.7257
181,15.1269,34.9382,0.7247
182,15.1262,34.9381,0.7243
183,15.1258,34.9381,0.7252
184,15.1194,34.9381,0.7249
185,15.114,34.9383,0.7242
186,15.1118,34.9383,0.7226
187,15.1095,34.9383,0.7226
188,15.1071,34.9383,0.7224
189,15.1042,34.9382,0.722
190,15.1049,34.9382,0.7223
191,15.1035,34.9381,0.7223
192,15.1039,34.9383,0.7221
193,15.1033,34.9383,0.7215
194,15.1024,34.9382,0.7222
195,15.1,34.9383,0.7222
196,15.0975,34.9384,0.7214
197,15.0971,34.9383,0.722
198,15.0973,34.9382,0.7223
199,15.0964,34.9381,0.7224
200,15.0967,34.9382,0.722
201,15.0972,34.9381,0.7214
202,15.0937,34.9382,0.7209
203,15.0883,34.9384,0.7217
204,15.0839,34.9384,0.7207
205,15.0778,34.9385,0.7199
206,15.0657,34.9387,0.7194
207,15.0643,34.9387,0.7187
208,15.0494,34.9387,0.719
209,15.0339,34.9388,0.7199
210,15.0322,34.9387,0.7193
211,15.0282,34.9384,0.7182
212,15.0258,34.9385,0.718
213,15.024,34.9386,0.7169
214,15.0114,34.9384,0.715
215,14.9887,34.938,0.7138
216,14.9794,34.938,0.7126
217,14.9701,34.9379,0.7113
218,14.9665,34.9379,0.7111
219,14.9666,34.938,0.7083
220,14.9619,34.9379,0.7039
221,14.9242,34.9372,0.701
222,14.9168,34.9372,0.6994
223,14.9147,34.937,0.6987
224,14.9172,34.9371,0.6968
225,14.9146,34.9369,0.6949
226,14.9125,34.9371,0.6949
227,14.9136,34.9371,0.6944
228,14.9142,34.9371,0.6944
229,14.9096,34.9368,0.6938
230,14.9028,34.937,0.6949
231,14.9027,34.9371,0.6942
232,14.9013,34.9371,0.6948
233,14.9089,34.9372,0.6938
234,14.9083,34.9372,0.6923
235,14.9079,34.9373,0.6903
236,14.9002,34.9371,0.683
237,14.8822,34.9369,0.6593
238,14.8745,34.9363,0.6303
239,14.575,34.926,0.6108
240,14.4143,34.9285,0.5931
241,14.3158,34.9212,0.5766
242,14.303,34.9218,0.5621
243,14.2023,34.9208,0.5523
244,14.1818,34.9209,0.5425
245,14.1624,34.9203,0.5361
246,14.1559,34.921,0.5242
247,14.1312,34.9207,0.5124
248,14.0799,34.9197,0.5017
249,13.9771,34.9194,0.4944
250,13.9468,34.9187,0.4873
251,13.9263,34.9185,0.4748
252,13.8985,34.9177,0.4608
253,13.8404,34.9186,0.4521
254,13.8222,34.9187,0.4441
255,13.8002,34.9185,0.4361
256,13.7803,34.9178,0.4237
257,13.7484,34.9166,0.4084
258,13.7129,34.9156,0.3965
259,13.6641,34.9152,0.3875
260,13.6204,34.9141,0.3801
261,13.6037,34.9133,0.3729
262,13.5988,34.9132,0.3658
263,13.5886,34.913,0.3597
264,13.5791,34.9128,0.354
265,13.5483,34.9107,0.346
266,13.5008,34.9093,0.3414
267,13.481,34.9082,0.3365
268,13.4677,34.9074,0.3316
269,13.422,34.9031,0.3265
270,13.4127,34.9032,0.324
271,13.3852,34.9018,0.3207
272,13.3766,34.9014,0.3193
273,13.377,34.9016,0.3166
274,13.3649,34.9006,0.3136
275,13.3525,34.8999,0.312
276,13.3404,34.8992,0.3095
277,13.3319,34.8987,0.3085
278,13.3257,34.8984,0.306
279,13.3176,34.898,0.3042
280,13.307,34.8973,0.3035
281,13.3078,34.8974,0.302
282,13.2974,34.8966,0.2995
